TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
475004337585400;1604478858589;49.080492560752;9.293700093403;300.0000;12.9400;103.5000;10.50000000;100.00000000;20.00000000;10.00000000;
475005372174014;1604478859589;49.080452746712;9.293822720647;300.0000;15.0900;110.1000;8.00000000;100.00000000;20.00000000;10.00000000;
475006772727321;1604478861000;49.080378860235;9.294073926285;299.0000;16.0600;122.0000;9.50000000;100.00000000;20.00000000;10.00000000;
475007764611320;1604478862000;49.080310547724;9.294223207980;296.0000;16.0200;130.2000;5.00000000;100.00000000;20.00000000;10.00000000;
475008758000050;1604478863000;49.080180753954;9.294401742518;296.0000;16.1200;136.3000;2.50000000;100.00000000;20.00000000;10.00000000;
475009773010588;1604478864000;49.080059593543;9.294527387246;296.0000;16.4600;146.1000;2.00000000;100.00000000;20.00000000;10.00000000;
475010773004741;1604478865000;49.079916388728;9.294638698921;298.0000;16.9400;155.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475011774823741;1604478866000;49.079769244418;9.294720338657;300.0000;16.9800;165.5000;1.50000000;100.00000000;20.00000000;10.00000000;
475012778000663;1604478867000;49.079623692669;9.294756716117;302.0000;16.9800;173.9000;1.50000000;100.00000000;20.00000000;10.00000000;
475013788644739;1604478868000;49.079470178112;9.294773815200;302.0000;17.1700;175.4000;1.50000000;100.00000000;20.00000000;10.00000000;
475014775260046;1604478869000;49.079322447069;9.294798457995;303.0000;17.0700;170.2000;1.50000000;100.00000000;20.00000000;10.00000000;
475015782642930;1604478870000;49.079175051302;9.294856041670;304.0000;17.3900;161.7000;1.50000000;100.00000000;20.00000000;10.00000000;
475016752027968;1604478871000;49.079029164277;9.294950086623;306.0000;17.5600;154.3000;1.50000000;100.00000000;20.00000000;10.00000000;
475017773557236;1604478872000;49.078888515942;9.295064667240;308.0000;17.5900;152.1000;1.50000000;100.00000000;20.00000000;10.00000000;
475018787210005;1604478873000;49.078756333329;9.295199783519;311.0000;17.6500;143.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475019782074966;1604478874000;49.078644686379;9.295372534543;312.0000;17.6200;134.0000;1.50000000;100.00000000;20.00000000;10.00000000;
475020778869311;1604478875000;49.078541044146;9.295570431277;313.0000;17.6500;125.6000;1.50000000;100.00000000;20.00000000;10.00000000;
475021783117426;1604478876000;49.078455129638;9.295779392123;314.0000;17.7800;119.0000;1.50000000;100.00000000;20.00000000;10.00000000;
475022793716733;1604478877000;49.078386062756;9.296002853662;315.0000;17.9600;111.4000;1.50000000;100.00000000;20.00000000;10.00000000;
475023777735001;1604478878000;49.078338663094;9.296240312979;315.0000;18.3300;104.2000;1.00000000;100.00000000;20.00000000;10.00000000;
475024763787308;1604478879000;49.078312427737;9.296482549980;316.0000;18.1600;96.4000;1.00000000;100.00000000;20.00000000;10.00000000;
475025792348692;1604478880000;49.078305889852;9.296731157228;316.0000;18.4200;88.9000;1.50000000;100.00000000;20.00000000;10.00000000;
475026790654768;1604478881000;49.078319133259;9.296985296533;317.0000;18.6500;81.5000;1.50000000;100.00000000;20.00000000;10.00000000;
475027780673268;1604478882000;49.078347170725;9.297231808305;317.0000;18.4700;76.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475028778348690;1604478883000;49.078382039443;9.297474799678;317.0000;18.3400;77.5000;1.50000000;100.00000000;20.00000000;10.00000000;
475029793402035;1604478884000;49.078415692784;9.297716869041;318.0000;18.1900;77.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475030770786996;1604478885000;49.078442347236;9.297954747453;318.0000;17.6800;78.5000;1.50000000;100.00000000;20.00000000;10.00000000;
475031773015072;1604478886000;49.078466570936;9.298189692199;318.0000;17.8700;78.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475032779820379;1604478887000;49.078469797969;9.298422792926;318.0000;17.1800;89.6000;1.50000000;100.00000000;20.00000000;10.00000000;
475033773394840;1604478888000;49.078442892060;9.298659916967;318.0000;17.1700;100.3000;1.50000000;100.00000000;20.00000000;10.00000000;
475034792977109;1604478889000;49.078406849876;9.298893604428;319.0000;16.8600;108.3000;1.50000000;100.00000000;20.00000000;10.00000000;
475035794961147;1604478890000;49.078358109109;9.299103235826;319.0000;16.5400;114.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475036786688492;1604478891000;49.078303542919;9.299314711243;319.0000;16.5600;113.4000;1.50000000;100.00000000;20.00000000;10.00000000;
475037774862068;1604478892000;49.078249773011;9.299525013193;319.0000;16.5000;112.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475038783474067;1604478893000;49.078195793554;9.299729028717;319.0000;15.8000;113.4000;1.00000000;100.00000000;20.00000000;10.00000000;
475039770404721;1604478894000;49.078146507964;9.299917621538;318.0000;14.7600;113.1000;1.00000000;100.00000000;20.00000000;10.00000000;
475040775237489;1604478895000;49.078098186292;9.300093892962;319.0000;13.2200;113.9000;1.00000000;100.00000000;20.00000000;10.00000000;
475041779970142;1604478896000;49.078052756377;9.300238145515;319.0000;10.5100;115.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475042775970103;1604478897000;49.078016588464;9.300350127742;319.0000;7.0000;119.1000;1.50000000;100.00000000;20.00000000;10.00000000;
475043783782833;1604478898000;49.077985701151;9.300423804671;318.0000;6.5300;121.1000;1.50000000;100.00000000;20.00000000;10.00000000;
475044772223563;1604478899000;49.077938972041;9.300489854068;318.0000;6.8400;138.5000;1.50000000;100.00000000;20.00000000;10.00000000;
475045798664986;1604478900000;49.077883064747;9.300544336438;319.0000;7.0700;145.4000;1.50000000;100.00000000;20.00000000;10.00000000;
475046798260369;1604478901000;49.077840652317;9.300606278703;319.0000;6.7300;128.4000;1.50000000;100.00000000;20.00000000;10.00000000;
475047777490215;1604478902000;49.077832773328;9.300692947581;319.0000;6.9600;93.0000;1.50000000;100.00000000;20.00000000;10.00000000;
475048778058830;1604478903000;49.077852386981;9.300784226507;319.0000;7.2400;62.6000;2.00000000;100.00000000;20.00000000;10.00000000;
475049770761675;1604478904000;49.077900457196;9.300839463249;320.0000;7.4400;27.9000;2.00000000;100.00000000;20.00000000;10.00000000;
475050772774713;1604478905000;49.077971200459;9.300843151286;320.0000;7.6300;353.3000;2.00000000;100.00000000;20.00000000;10.00000000;
475051772649327;1604478906000;49.078032555990;9.300813479349;320.0000;7.4400;342.5000;2.00000000;100.00000000;20.00000000;10.00000000;
475052770821557;1604478907000;49.078090684488;9.300799397752;320.0000;6.4100;356.7000;1.50000000;100.00000000;20.00000000;10.00000000;
475053774846211;1604478908000;49.078138545156;9.300808534026;320.0000;5.6300;11.5000;2.00000000;100.00000000;20.00000000;10.00000000;
475054774686787;1604478909000;49.078175551258;9.300820184872;319.0000;3.9700;23.0000;1.50000000;100.00000000;20.00000000;10.00000000;
475055777028209;1604478910000;49.078208659776;9.300843318924;320.0000;4.0500;25.4000;1.50000000;100.00000000;20.00000000;10.00000000;
475056783749824;1604478911000;49.078246923164;9.300864357501;320.0000;4.9700;28.5000;1.50000000;100.00000000;20.00000000;10.00000000;
475057770423362;1604478912000;49.078290592879;9.300896124914;321.0000;5.0800;30.9000;2.00000000;100.00000000;20.00000000;10.00000000;
475058772206899;1604478913000;49.078327892348;9.300921019167;321.0000;4.6700;30.5000;1.50000000;100.00000000;20.00000000;10.00000000;
475059769970091;1604478914000;49.078366574831;9.300958905369;321.0000;4.7800;33.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475060772390936;1604478915000;49.078413052484;9.301006682217;321.0000;6.8300;35.9000;1.50000000;100.00000000;20.00000000;10.00000000;
475061786921743;1604478916000;49.078464307822;9.301081700251;321.0000;9.0500;42.9000;1.50000000;100.00000000;20.00000000;10.00000000;
475062786359050;1604478917000;49.078521765769;9.301183456555;321.0000;10.7900;47.3000;1.50000000;100.00000000;20.00000000;10.00000000;
475063783005934;1604478918000;49.078585174866;9.301299462095;321.0000;10.8500;47.4000;1.50000000;100.00000000;20.00000000;10.00000000;
475064777155664;1604478919000;49.078649296425;9.301410773769;321.0000;11.5200;47.5000;1.50000000;100.00000000;20.00000000;10.00000000;
475065776150625;1604478920000;49.078712663613;9.301533987746;321.0000;11.4400;47.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475066785624547;1604478921000;49.078779551201;9.301647646353;322.0000;11.7300;45.7000;1.00000000;100.00000000;20.00000000;10.00000000;
475067774825739;1604478922000;49.078853018582;9.301760634407;322.0000;11.8300;43.3000;1.50000000;100.00000000;20.00000000;10.00000000;
475068779664469;1604478923000;49.078927952796;9.301876388490;323.0000;11.9600;44.7000;1.00000000;100.00000000;20.00000000;10.00000000;
475069789555468;1604478924000;49.079000414349;9.301989460364;323.0000;11.4800;46.4000;1.50000000;100.00000000;20.00000000;10.00000000;
475070772525391;1604478925000;49.079069104046;9.302102783695;324.0000;11.6900;47.9000;1.50000000;100.00000000;20.00000000;10.00000000;
475071776234390;1604478926000;49.079139428213;9.302221471444;324.0000;11.6900;49.9000;1.00000000;100.00000000;20.00000000;10.00000000;
475072783546120;1604478927000;49.079199568368;9.302349463105;325.0000;12.0200;53.5000;1.00000000;100.00000000;20.00000000;10.00000000;
475073771722773;1604478928000;49.079261510633;9.302489021793;325.0000;11.9800;54.3000;1.00000000;100.00000000;20.00000000;10.00000000;
475074775335926;1604478929000;49.079324165359;9.302627993748;325.0000;12.2300;53.1000;1.00000000;100.00000000;20.00000000;10.00000000;
475075776378964;1604478930000;49.079394740984;9.302759338170;326.0000;12.4700;49.1000;1.50000000;100.00000000;20.00000000;10.00000000;
475076777627925;1604478931000;49.079470052384;9.302888000384;327.0000;12.6500;48.3000;1.50000000;100.00000000;20.00000000;10.00000000;
475077768555116;1604478932000;49.079546537250;9.303014315665;327.0000;12.7700;48.2000;1.00000000;100.00000000;20.00000000;10.00000000;
475078785296885;1604478933000;49.079625788145;9.303138954565;327.0000;12.6400;47.8000;1.00000000;100.00000000;20.00000000;10.00000000;
475079790416230;1604478934000;49.079699758440;9.303266443312;327.0000;12.6300;47.8000;1.00000000;100.00000000;20.00000000;10.00000000;
475080796507691;1604478935000;49.079777668230;9.303397787735;328.0000;12.8800;47.6000;1.00000000;100.00000000;20.00000000;10.00000000;
475081783878344;1604478936000;49.079856667668;9.303528964520;328.0000;12.9700;47.7000;1.50000000;100.00000000;20.00000000;10.00000000;
475082786328074;1604478937000;49.079936840571;9.303658129647;328.0000;12.8500;47.5000;1.00000000;100.00000000;20.00000000;10.00000000;
475083776414997;1604478938000;49.080012822524;9.303779834881;328.0000;12.5800;47.9000;1.00000000;100.00000000;20.00000000;10.00000000;
475084787607188;1604478939000;49.080087505281;9.303904809058;328.0000;12.3600;46.7000;1.00000000;100.00000000;20.00000000;10.00000000;
475085792656688;1604478940000;49.080164409243;9.304026598111;328.0000;12.4000;45.3000;1.00000000;100.00000000;20.00000000;10.00000000;
475086774980187;1604478941000;49.080241061747;9.304147465155;328.0000;12.7200;47.0000;1.00000000;100.00000000;20.00000000;10.00000000;
475087767628032;1604478942000;49.080314529128;9.304276211187;328.0000;12.7200;47.7000;1.00000000;100.00000000;20.00000000;10.00000000;
475088783460724;1604478943000;49.080395665951;9.304401939735;328.0000;12.7900;44.4000;1.00000000;100.00000000;20.00000000;10.00000000;
475089774692339;1604478944000;49.080476802774;9.304524818435;328.0000;12.9100;44.9000;1.00000000;100.00000000;20.00000000;10.00000000;
475090772668646;1604478945000;49.080554377288;9.304650630802;328.0000;13.0300;48.4000;1.00000000;100.00000000;20.00000000;10.00000000;
475091765686799;1604478946000;49.080629311502;9.304787172005;328.0000;13.1200;53.1000;1.00000000;100.00000000;20.00000000;10.00000000;
475092767128221;1604478947000;49.080703994259;9.304931592196;328.0000;13.2100;53.5000;1.00000000;100.00000000;20.00000000;10.00000000;
475093767336297;1604478948000;49.080778299831;9.305075425655;328.0000;13.2200;51.5000;1.50000000;100.00000000;20.00000000;10.00000000;
475094771861104;1604478949000;49.080853066407;9.305221186951;328.0000;13.0300;50.9000;1.50000000;100.00000000;20.00000000;10.00000000;
475095782688104;1604478950000;49.080924731679;9.305360661820;329.0000;12.8300;51.7000;1.00000000;100.00000000;20.00000000;10.00000000;
475096767072411;1604478951000;49.080995097756;9.305498879403;329.0000;12.5100;52.8000;1.50000000;100.00000000;20.00000000;10.00000000;
475097762047333;1604478952000;49.081062069163;9.305636174977;329.0000;12.3800;52.3000;1.50000000;100.00000000;20.00000000;10.00000000;
475098783277255;1604478953000;49.081128747202;9.305771710351;330.0000;12.2500;52.4000;1.50000000;100.00000000;20.00000000;10.00000000;
475099772922293;1604478954000;49.081195048057;9.305907329544;330.0000;12.2600;52.8000;1.00000000;100.00000000;20.00000000;10.00000000;
475100790980485;1604478955000;49.081259923987;9.306042948738;331.0000;12.2800;52.8000;1.00000000;100.00000000;20.00000000;10.00000000;
475101779333753;1604478956000;49.081326099113;9.306177813560;331.0000;12.2200;52.9000;1.00000000;100.00000000;20.00000000;10.00000000;
475102782238560;1604478957000;49.081390472129;9.306309660897;332.0000;11.6300;52.9000;1.00000000;100.00000000;20.00000000;10.00000000;
